Player ID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Cro,Dri,Fre,Fin,Fir,Fla,Lon,OtB,Pas,Vis,Acc,Ant,Hea,Jum,Mar,Pac,Pos,Sta,Str,Tck,Agi,Bal,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Ref,TRO,Pun,Thr,Agg,Bra,Cmp,Cnt,Dec,Det,Ldr,Tea,Wor,Cor,L Th,Pen,Tec,Best Pos,Best Role,Best Duty,Agreed Playing Time,F/PT,Wage,Expires
1,Brenden Aaronson,"M (C), AM (RLC)",Leeds Utd,USA,177 cm,68 kg,24,33000000.0,10,14,10,10,13,13,11,13,12,12,15,12,8,9,8,15,8,16,8,10,15,9,1,1,2,1,1,3,1,1,4,3,2,12,15,11,11,10,11,7,16,17,12,6,12,13,M (C),Box To Box Midfielder,Support,Squad Player,Full Time,52000.0,30/6/2024
2,James Abankwah,D (RC),Watford,IRL,183 cm,79 kg,21,2500000.0,8,10,6,7,12,8,6,9,12,12,14,11,12,13,14,13,11,14,12,12,12,15,3,1,3,3,4,2,1,2,3,2,1,11,12,11,12,12,14,5,13,14,4,8,6,13,D (C),Libero,Defend,-,Full Time,2300.0,30/6/2027
3,Ken Aboh,ST (C),Norwich,ENG,175 cm,72 kg,20,1500000.0,6,11,4,14,9,7,8,12,8,7,14,10,10,10,4,14,5,11,11,4,13,12,3,1,3,1,2,1,1,1,3,1,1,12,13,9,8,7,15,4,13,13,4,4,13,10,ST (C),Pressing Forward,Attack,Breakthrough Prospect,Full Time,1200.0,30/6/2025
4,Kai-Reece Adams-Collman,"D (RL), DM, M (C)",Crystal Palace,ENG,177 cm,66 kg,18,85000.0,8,4,6,3,7,5,7,7,9,6,10,3,6,5,7,12,7,12,3,13,11,3,2,1,2,2,3,3,1,1,1,2,2,9,7,8,8,13,14,7,7,9,5,1,1,8,M (C),Central Midfielder,Support,Youngster,Full Time,250.0,30/6/2025
5,Afi Adebayo,"M (R), AM (RLC)",Ipswich Town,IRL,171 cm,68 kg,18,70000.0,7,11,1,6,11,12,9,7,4,9,13,6,2,1,2,12,4,6,1,5,8,13,3,3,3,1,2,1,3,2,3,1,1,6,3,3,2,7,14,1,6,11,3,4,1,12,"M/AM (RL), ST (RL)",Winger,Support,Youngster,Youth Contract,250.0,30/6/2024
6,Val Adedokun,D/WB/M/AM (L),Brentford,IRL,181 cm,71 kg,22,80000.0,11,12,6,8,12,12,9,12,12,11,13,12,8,8,5,13,8,11,9,8,12,12,1,2,4,1,3,1,1,1,3,1,4,10,12,11,7,10,13,6,11,12,10,3,5,12,"M/AM (RL), ST (RL)",Winger,Support,Fringe Player,Full Time,1700.0,30/6/2024
7,Dean Adekoya,"AM (L), ST (C)",Stoke,ENG,188 cm,76 kg,19,18000.0,6,3,4,2,6,6,5,6,5,6,9,7,5,11,3,10,5,12,3,2,11,5,2,2,2,1,3,2,1,3,3,2,2,15,8,6,3,11,17,4,11,12,4,4,1,6,ST (C),Pressing Forward,Defend,Youngster,Full Time,250.0,30/6/2024
8,Noah Adekoya,D (C),Burnley,ENG,191 cm,75 kg,20,45000.0,1,1,2,1,4,5,1,3,4,1,8,8,12,9,11,11,11,3,5,11,12,4,1,1,3,3,2,1,2,1,1,1,1,13,6,3,4,12,6,12,3,1,1,1,2,2,D (C),Central Defender,Defend,Youngster,Full Time,350.0,30/6/2024
9,Karim Adeyemi,"AM (RL), ST (C)",Dortmund,GER,180 cm,75 kg,23,62000000.0,9,14,9,12,12,14,8,11,10,10,19,10,8,10,6,19,6,11,9,7,16,8,1,2,1,1,3,3,2,1,2,2,3,16,12,10,8,9,16,4,10,15,11,6,13,13,AM (L),Winger,Support,Regular Starter,Full Time,110000.0,30/6/2025
10,Tobi Adeyemo,ST (C),Watford,ENG,188 cm,84 kg,20,2700000.0,5,13,8,12,11,8,7,14,9,6,13,10,14,11,8,12,7,10,13,6,10,13,3,1,1,3,3,2,2,2,2,1,1,14,9,12,10,10,14,13,8,12,7,4,7,9,ST (C),Poacher,Attack,Breakthrough Prospect,Full Time,825.0,30/6/2024
11,Emeka Adiele,D/WB (L),West Ham,ENG,173 cm,66 kg,18,35000.0,10,10,3,3,10,8,6,8,10,10,8,6,8,4,8,8,5,10,5,14,9,16,2,3,1,2,2,2,2,1,1,2,3,13,8,9,8,7,11,10,15,15,7,8,1,9,D/WB (RL),Inverted Wing-Back,Support,Youngster,Youth Contract,250.0,30/6/2024
12,Asher Agbinone,AM (RL),Crystal Palace,ENG,176 cm,64 kg,19,200000.0,10,12,5,7,9,12,6,9,9,7,12,7,5,6,4,12,4,8,2,7,12,12,1,3,1,4,2,2,2,3,3,1,1,13,7,6,4,11,16,1,7,11,6,5,1,11,"M/AM (RL), ST (RL)",Winger,Support,Youngster,Full Time,700.0,30/6/2024
13,Sydney Agina,D (C),Stoke,ENG,182 cm,79 kg,19,20000.0,5,1,3,4,6,5,1,5,5,4,3,5,8,12,8,7,7,5,14,14,6,7,2,1,3,4,2,2,3,2,3,4,3,11,8,11,5,8,8,6,6,7,5,1,4,5,D (C),Central Defender,Defend,Youngster,Full Time,250.0,30/6/2024
14,Julen Agirrezabala,GK,Valencia,ESP,187 cm,84 kg,24,25000000.0,3,3,6,3,11,2,3,3,11,11,13,15,2,15,1,13,14,9,13,3,13,7,14,13,13,5,13,12,14,15,6,13,12,11,14,12,15,15,13,11,12,11,4,1,3,11,GK,Goalkeeper,Defend,-,Full Time,12750.0,30/6/2025
15,Diego Aguado,"D (LC), WB (L)",Real Madrid,ESP,176 cm,67 kg,18,180000.0,7,12,6,2,9,6,6,9,10,7,11,7,5,5,9,8,9,9,3,12,11,12,3,3,1,2,3,2,3,3,3,3,2,11,8,4,8,12,9,10,13,12,4,5,1,9,D/WB (RL),Wing-Back,Defend,Youngster,Full Time,300.0,30/6/2024
16,Yusuf Ahmed,"AM (RL), ST (C)",Birmingham,ENG,181 cm,68 kg,19,80000.0,9,3,4,11,13,11,3,7,6,6,12,6,6,8,4,10,2,7,3,3,12,5,1,1,2,1,1,1,3,1,3,4,3,10,6,8,5,10,11,13,5,6,6,4,7,11,"AM (RL), ST (RL)",Inside Forward,Support,Youngster,Full Time,350.0,30/6/2024
