Player ID,Rec,Inf,Name,Position,Club,Nat,Height,Weight,WR,Age,Transfer Value,Cro,Dri,Fre,Fin,Fir,Fla,Lon,OtB,Pas,Vis,Acc,Ant,Hea,Jum,Mar,Pac,Pos,Sta,Str,Tck,Agi,Bal,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Ref,TRO,Pun,Thr,Agg,Bra,Cmp,Cnt,Dec,Det,Ldr,Tea,Wor,Cor,L Th,Pen,Tec,Best Pos,Best Role,Best Duty,Ability,Potential,Agreed Playing Time,F/PT,Wage,Expires
1,,0.0,Brenden Aaronson,"M (C), AM (RLC)",Leeds Utd,,177 cm,68 kg,0.0,24,33000000.0,10,14,10,10,13,13,11,13,12,12,14.0,12.0,8.0,9.0,8.0,16.5,8.0,16.0,7.5,10.0,15,9,1,1,2,1,1,3,1,1,4,3,2,12,15,11,11,10,11,7,16,17,12,6,12,13,M (C),Box To Box Midfielder,Support,,,,,,
2,,0.0,James Abankwah,D (RC),Watford,,183 cm,79 kg,0.0,21,2500000.0,8,10,6,7,12,8,6,9,12,12,14.0,11.0,12.0,13.0,14.0,13.0,11.0,14.0,12.0,12.0,12,15,3,1,3,3,4,2,1,2,3,2,1,11,12,11,12,12,14,5,13,14,4,8,6,13,D (C),Libero,Defend,,,,,,
3,,,Ken Aboh,ST (C),Norwich,,175 cm,72 kg,0.0,20,1500000.0,6,11,4,14,9,7,8,12,8,7,14.0,10.0,10.0,10.0,4.0,14.0,5.0,11.0,11.0,4.0,13,12,3,1,3,1,2,1,1,1,3,1,1,12,13,9,8,7,15,4,13,13,4,4,13,10,ST (C),Pressing Forward,Attack,,,,,,
4,,0.0,Kai-Reece Adams-Collman,"D (RL), DM, M (C)",Crystal Palace,,177 cm,66 kg,0.0,18,85000.0,8,4,6,3,7,5,7,7,9,6,,3.0,6.0,,7.0,,7.0,4.0,5.5,13.0,11,3,2,1,2,2,3,3,1,1,1,2,2,9,7,8,8,13,14,7,7,9,5,1,1,8,M (C),Central Midfielder,Support,,,,,,
5,,,Afi Adebayo,"M (R), AM (RLC)",Ipswich Town,,171 cm,68 kg,0.0,18,70000.0,7,11,1,6,11,12,9,7,4,9,13.0,6.0,2.0,1.0,2.0,12.0,4.0,6.0,1.0,5.0,8,13,3,3,3,1,2,1,3,2,3,1,1,6,3,3,2,7,14,1,6,11,3,4,1,12,"M/AM (RL), ST (RL)",Winger,Support,,,,,,
6,,,Val Adedokun,D/WB/M/AM (L),Brentford,,181 cm,71 kg,0.0,22,80000.0,11,12,6,8,12,12,9,12,12,11,14.0,12.0,8.0,7.0,5.0,13.0,8.0,11.0,9.0,8.0,12,12,1,2,4,1,3,1,1,1,3,1,4,10,12,11,7,10,13,6,11,12,10,3,5,12,"M/AM (RL), ST (RL)",Winger,Support,,,,,,
7,,0.0,Dean Adekoya,"AM (L), ST (C)",Stoke,,188 cm,76 kg,0.0,19,18000.0,6,3,4,2,6,6,5,6,5,6,9.0,7.0,5.0,11.0,3.0,10.0,5.0,12.0,3.0,2.0,11,5,2,2,2,1,3,2,1,3,3,2,2,15,8,6,3,11,17,4,11,12,4,4,1,6,ST (C),Pressing Forward,Defend,,,,,,
8,,0.0,Noah Adekoya,D (C),Burnley,,191 cm,75 kg,0.0,20,45000.0,1,1,2,1,4,5,1,3,4,1,,8.0,12.0,,11.0,,11.0,9.5,10.5,11.0,12,4,1,1,3,3,2,1,2,1,1,1,1,13,6,3,4,12,6,12,3,1,1,1,2,2,D (C),Central Defender,Defend,,,,,,
9,,,Karim Adeyemi,"AM (RL), ST (C)",Dortmund,,180 cm,75 kg,0.0,23,62000000.0,9,14,9,12,12,14,8,11,10,10,19.0,10.0,8.0,10.0,6.0,19.0,6.0,11.0,9.0,7.0,16,8,1,2,1,1,3,3,2,1,2,2,3,16,12,10,8,9,16,4,10,15,11,6,13,13,AM (L),Winger,Support,0.0,0.0,,,,
10,,,Tobi Adeyemo,ST (C),Watford,,188 cm,84 kg,0.0,20,2700000.0,5,13,8,12,11,8,7,14,9,6,13.0,10.0,14.0,11.0,8.0,12.0,7.0,10.0,13.0,6.0,10,13,3,1,1,3,3,2,2,2,2,1,1,14,9,12,10,10,14,13,8,12,7,4,7,9,ST (C),Poacher,Attack,,,,,,
11,,,Emeka Adiele,D/WB (L),West Ham,,173 cm,66 kg,0.0,18,35000.0,10,10,3,3,10,8,6,8,10,10,13.0,6.0,8.0,4.0,8.0,,5.0,,7.5,14.0,9,16,2,3,1,2,2,2,2,1,1,2,3,13,8,9,8,7,11,10,15,15,7,8,1,9,D/WB (RL),Inverted Wing-Back,Support,,,,,,
12,,,Asher Agbinone,AM (RL),Crystal Palace,,176 cm,64 kg,0.0,19,200000.0,10,12,5,7,9,12,6,9,9,7,13.0,7.0,5.0,12.5,4.0,10.5,4.0,,2.0,7.0,12,12,1,3,1,4,2,2,2,3,3,1,1,13,7,6,4,11,16,1,7,11,6,5,1,11,"M/AM (RL), ST (RL)",Winger,Support,,,,,,
13,,,Sydney Agina,D (C),Stoke,,182 cm,79 kg,0.0,19,20000.0,5,1,3,4,6,5,1,5,5,4,3.0,5.0,8.0,12.0,8.0,7.0,7.0,5.0,14.0,14.0,6,7,2,1,3,4,2,2,3,2,3,4,3,11,8,11,5,8,8,6,6,7,5,1,4,5,D (C),Central Defender,Defend,,,,,,
14,,0.0,Julen Agirrezabala,GK,Valencia,,187 cm,84 kg,0.0,24,25000000.0,3,3,6,3,11,2,3,3,11,11,14.0,15.0,2.0,14.0,1.0,11.0,14.0,5.5,13.5,3.0,13,7,14,13,13,5,13,12,14,15,6,13,12,11,14,12,15,15,13,11,12,11,4,1,3,11,GK,Goalkeeper,Defend,,,,,,
15,,0.0,Diego Aguado,"D (LC), WB (L)",Real Madrid,,176 cm,67 kg,0.0,18,180000.0,7,12,6,2,9,6,6,9,10,7,8.5,,11.5,8.0,5.0,,5.5,,3.5,13.5,11,12,3,3,1,2,3,2,3,3,3,3,2,11,8,4,8,12,9,10,13,12,4,5,1,9,D/WB (RL),Wing-Back,Defend,,,,,,
16,,0.0,Yusuf Ahmed,"AM (RL), ST (C)",Birmingham,,181 cm,68 kg,0.0,19,80000.0,9,3,4,11,13,11,3,7,6,6,12.0,6.0,6.0,8.0,4.0,10.0,2.0,7.0,3.0,3.0,12,5,1,1,2,1,1,1,3,1,3,4,3,10,6,8,5,10,11,13,5,6,6,4,7,11,"AM (RL), ST (RL)",Inside Forward,Support,,,,,,
17,,0.0,Joseph Aidoo,D (C),Celta Vigo,,184 cm,80 kg,0.0,29,8400000.0,7,8,8,4,11,7,7,8,10,9,12.5,12.0,14.0,13.0,14.0,14.5,13.0,15.5,17.0,15.0,14,15,3,4,1,1,1,3,3,2,1,3,3,15,17,11,12,12,14,11,12,14,7,9,6,11,D (C),Wide Centre-Back,Defend,,,,,,
18,,0.0,Aimar,AM (LC),Osasuna,,177 cm,70 kg,0.0,23,30000000.0,13,14,12,11,16,16,10,11,15,15,14.5,12.0,8.0,8.0,6.0,13.5,11.0,11.0,13.0,11.0,14,12,3,3,1,3,2,2,3,1,3,3,1,6,12,15,13,15,14,13,14,12,11,6,16,16,"M (C), AM (RLC), ST (RL)",Advanced Playmaker,Support,,,,,,
19,,0.0,Aitor FernÃ¡ndez,GK,Osasuna,,182 cm,78 kg,0.0,34,0.0,3,1,9,2,10,1,2,3,11,9,12.0,14.0,9.0,11.0,3.0,11.0,13.0,11.5,10.5,2.0,13,12,13,13,14,5,13,13,15,16,14,8,13,12,12,13,14,14,14,9,14,12,6,2,3,10,GK,Sweeper Keeper,Defend,,,,,,
20,,,Joshua Ajala,ST (C),West Ham,,186 cm,76 kg,0.0,18,275000.0,4,13,5,8,13,10,4,7,6,4,15.0,9.0,13.0,11.0,4.0,8.5,3.0,,7.0,1.0,10,8,1,2,4,1,2,2,2,1,1,2,3,14,6,9,4,6,10,7,6,6,2,1,2,10,ST (C),Advanced Forward,Attack,,,,,,
21,,0.0,Manuel Akanji,D (RC),Inter,,187 cm,91 kg,0.0,29,45000000.0,8,11,9,6,13,9,11,9,13,13,14.0,15.0,13.0,15.0,15.0,15.0,13.0,14.0,17.0,16.0,13,13,2,3,2,2,1,3,4,2,2,1,2,13,16,16,15,13,14,10,14,13,4,12,8,12,D (C),Wide Centre-Back,Defend,,,,,,
22,,,Yusuf Akhamrich,"AM (RL), ST (C)",Tottenham,,186 cm,75 kg,0.0,19,140000.0,9,8,5,12,12,10,3,12,9,7,4.5,6.0,11.0,10.5,1.0,8.0,5.0,,4.5,3.0,12,6,1,3,2,2,1,1,3,4,2,3,1,5,7,8,5,7,14,3,6,7,5,1,4,9,ST (C),Inside Forward,Attack,,,,,,
23,,0.0,Hiroki Akiyama,"DM, AM (C)",Darmstadt 98,,176 cm,70 kg,0.0,24,1400000.0,6,13,10,10,16,11,3,6,17,13,13.0,16.0,13.0,12.0,9.0,10.0,9.0,11.0,13.0,14.0,12,8,3,2,2,2,1,1,2,1,3,1,1,10,8,12,4,13,11,6,8,13,6,9,10,16,"DM, M (C)",Deep Lying Playmaker,Defend,,,,,,
